time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
160,-0.00015715973136600075,13.99351371663391,13.854939338007114,inf,0,0,0,0,5,2,4,2
161,-0.00017176877949556975,13.99351371663391,13.854939530512194,inf,0,0,0,0,4,3,2,1
162,-0.0002718225489272291,13.99351371663391,13.85493940558557,inf,0,0,0,0,5,4,2,1
163,-0.0003187079760255659,13.99351371663391,13.854941023771744,inf,0,0,0,0,5,2,4,1
164,-0.0003708186061913239,13.99351371663391,13.854940255681214,inf,0,0,0,0,5,3,3,1
165,-0.00045757943488585026,13.99351371663391,13.854940366126023,inf,0,0,0,0,4,3,2,1
166,-0.0004077568647559021,13.99351371663391,13.854940948363204,inf,0,0,0,0,4,2,2,2
167,-0.0004711668063816221,13.99351371663391,13.854938490755783,inf,0,0,0,0,5,3,2,2
168,-0.0005227222194151538,13.99351371663391,13.85494009502234,inf,0,0,0,0,5,2,6,1
169,-0.0005257673860816271,13.99351371663391,13.85493972608013,inf,0,0,0,0,5,4,2,1
170,-0.0006019355886981642,13.99351371663391,13.85493868852452,inf,0,0,0,0,6,2,8,1
171,-0.0006465551555470774,13.99351371663391,13.854939695255919,inf,0,0,0,0,5,3,3,1
172,-0.0006114261874353459,13.99351371663391,13.854939039284679,inf,0,0,0,0,4,3,2,1
173,-0.0006482098339238763,13.99351371663391,13.854937435473142,inf,0,0,0,0,5,3,2,2
174,-0.0006112876280616441,13.99351371663391,13.8549383075874,inf,0,0,0,0,5,3,2,2
175,-0.0006107998828593171,13.99351371663391,13.854936741702634,inf,0,0,0,0,6,3,6,1
176,-0.0006390148599091226,13.99351371663391,13.854936996832542,inf,0,0,0,0,5,4,2,1
177,-0.0006146511829990013,13.99351371663391,13.854937247677142,inf,0,0,0,0,6,1,10,0
178,-0.0006905596386288885,13.99351371663391,13.8549361075518,inf,0,0,0,0,5,3,3,1
179,-0.0006867515661757384,13.99351371663391,13.854937690831004,inf,0,0,0,0,5,3,3,1
180,-0.0007243105695124731,13.99351371663391,13.854936274087795,inf,0,0,0,0,5,3,2,2
181,-0.0007036221659872653,13.99351371663391,13.85493689132821,inf,0,0,0,0,8,2,12,1
182,-0.0007517722710563046,13.99351371663391,13.85493580088762,inf,0,0,0,0,5,4,2,1
183,-0.0007573127930089681,13.99351371663391,13.854936902250296,inf,0,0,0,0,6,2,8,1
184,-0.0007529734657410326,13.99351371663391,13.854936193891994,inf,0,0,0,0,6,2,4,3
185,-0.0007893398835359225,13.99351371663391,13.854935983917885,inf,0,0,0,0,6,2,8,1
186,-0.0007853078928257396,13.99351371663391,13.854936680637788,inf,0,0,0,0,5,3,2,2
