time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
175,-0.000836060612246676,15.86860845131533,15.672755180261072,inf,0,0,0,0,5,3,2,2
176,-0.0008606266326848762,15.86860845131533,15.672754508851341,inf,0,0,0,0,8,2,10,1
177,-0.0008994193786497687,15.86860845131533,15.672754357969383,19.830572202001616,1,511.10153,0,0.55955225,5,4,2,1
178,-0.0008565448844370337,15.86860845131533,15.672754556437688,inf,0,0,0,0,7,2,10,1
179,-0.0007976957549932341,15.86860845131533,15.67275315060147,inf,0,0,0,0,7,3,4,3
180,-0.0008024015751114024,15.86860845131533,15.672752593447255,inf,0,0,0,0,7,1,15,0
181,-0.0008231104515305967,15.86860845131533,15.672753440254027,inf,0,0,0,0,9,2,18,1
182,-0.0007958650933898609,15.86860845131533,15.672753681198092,inf,0,0,0,0,6,3,4,1
183,-0.00084109744751233,15.86860845131533,15.672752855910824,22.303911785310444,1,418.3567,0,0.5206461,6,3,3,2
184,-0.0008038638898532013,15.86860845131533,15.672754091525304,20.869702216135746,1,468.51135,0,0.5063537,8,2,15,1
185,-0.0008128204067657805,15.86860845131533,15.672752733550176,inf,0,0,0,0,7,2,10,1
186,-0.0008200894442782281,15.86860845131533,15.672753474436016,inf,0,0,0,0,7,4,4,2
187,-0.0008306535160923364,15.86860845131533,15.672753477261944,inf,0,0,0,0,7,2,10,1
188,-0.0008172517858047006,15.86860845131533,15.672753599301801,inf,0,0,0,0,7,2,12,1
189,-0.0008273556501790905,15.86860845131533,15.672753239579094,inf,0,0,0,0,8,3,10,1
190,-0.0008399695207549421,15.86860845131533,15.672753666558878,21.386512388725805,1,449.38834,0,0.5326336,8,3,4,4
191,-0.000810590047319564,15.86860845131533,15.672753787813512,18.714937300911078,2,564.08795,463.15842,0.52004844,7,2,10,1
192,-0.0008604892011442704,15.86860845131533,15.672753112006818,inf,0,0,0,0,10,2,20,2
193,-0.0008811603029935852,15.86860845131533,15.672754509127133,19.372661994421644,1,531.85297,0,0.5066457,8,3,10,1
194,-0.0008474464616335274,15.86860845131533,15.672754195714809,inf,0,0,0,0,8,3,4,4
195,-0.0008915026147884974,15.86860845131533,15.672753362588333,inf,0,0,0,0,6,2,8,1
